,latitude,longitude,price,minimum_nights,number_of_reviews,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
230,40.73401,-73.95966999999999,135,2,69,12,0,1,0,0,0,1,0,0
231,40.71756,-73.99503,250,4,18,265,0,0,1,0,0,1,0,0
232,40.7589,-73.96991,250,30,82,0,0,0,1,0,0,1,0,0
233,40.72003,-74.00262,500,4,94,329,0,0,1,0,0,1,0,0
234,40.73194,-73.99474000000001,225,5,10,91,0,0,1,0,0,1,0,0
235,40.79163,-73.94573000000001,125,28,183,365,0,0,1,0,0,1,0,0
236,40.8118,-73.94434,92,1,189,253,0,0,1,0,0,0,1,0
237,40.81583,-73.94707,175,2,1,365,0,0,1,0,0,0,1,0
238,40.72654,-73.98049,99,2,127,320,0,0,1,0,0,1,0,0
239,40.80021,-73.96070999999999,195,4,4,0,0,0,1,0,0,1,0,0
240,40.80942,-73.93936,140,3,135,192,0,0,1,0,0,1,0,0
241,40.719609999999996,-73.9954,135,2,21,0,0,0,1,0,0,1,0,0
242,40.74358,-74.00027,500,2,35,348,0,0,1,0,0,1,0,0
243,40.80335,-73.9575,80,14,10,0,0,0,1,0,0,0,1,0
244,40.71445,-73.9908,120,4,171,353,0,0,1,0,0,0,1,0
245,40.757490000000004,-73.96897,110,200,92,140,0,0,1,0,0,1,0,0
246,40.644459999999995,-73.9503,65,3,238,2,0,1,0,0,0,1,0,0
247,40.7268,-73.99079,130,50,56,56,0,0,1,0,0,1,0,0
248,40.688,-73.9171,99,3,111,68,0,1,0,0,0,1,0,0
249,40.63536,-74.08537,36,2,193,360,0,0,0,0,1,0,1,0
250,40.63627,-74.08543,37,2,147,0,0,0,0,0,1,0,1,0
251,40.63518,-74.08546,37,2,177,320,0,0,0,0,1,0,1,0
252,40.72477,-73.98161,175,3,185,326,0,0,1,0,0,1,0,0
253,40.74238,-73.99566999999999,205,9,62,76,0,0,1,0,0,1,0,0
254,40.72945,-73.95510999999999,285,3,124,279,0,1,0,0,0,1,0,0
255,40.70763,-73.95177,59,2,181,15,0,1,0,0,0,0,1,0
256,40.634809999999995,-74.08519,36,2,333,340,0,0,0,0,1,0,1,0
257,40.753840000000004,-73.91433,99,5,441,226,0,0,0,1,0,1,0,0
258,40.641059999999996,-73.97426,39,1,45,365,0,1,0,0,0,0,1,0
259,40.66793,-73.98326999999999,60,14,9,0,0,1,0,0,0,0,1,0
260,40.81309,-73.85514,90,2,0,349,1,0,0,0,0,0,1,0
261,40.88057,-73.83572,105,2,38,365,1,0,0,0,0,1,0,0
262,40.682359999999996,-73.94314,135,2,248,11,0,1,0,0,0,1,0,0
263,40.72185,-73.98246,390,5,143,316,0,0,1,0,0,1,0,0
264,40.68503,-73.95385,70,3,36,281,0,1,0,0,0,0,1,0
265,40.866479999999996,-73.9263,75,7,0,323,0,0,1,0,0,0,1,0
266,40.7069,-73.95467,60,17,14,362,0,1,0,0,0,0,1,0
267,40.72807,-73.98594,200,3,0,0,0,0,1,0,0,1,0,0
268,40.6778,-73.94339000000001,100,3,279,301,0,1,0,0,0,0,1,0
269,40.683170000000004,-73.94700999999999,70,4,18,189,0,1,0,0,0,0,1,0
270,40.6761,-73.9529,110,6,50,0,0,1,0,0,0,0,1,0
271,40.67586,-73.95155,60,2,227,287,0,1,0,0,0,0,1,0
272,40.71702,-73.99811,90,14,1,14,0,0,1,0,0,1,0,0
273,40.723209999999995,-73.98156999999999,68,2,203,86,0,0,1,0,0,0,1,0
274,40.77956,-73.98098,115,2,210,261,0,0,1,0,0,1,0,0
275,40.682759999999995,-73.95264,75,5,64,68,0,1,0,0,0,0,1,0
276,40.71368,-73.9626,60,3,0,0,0,1,0,0,0,0,1,0
277,40.72956,-73.98158000000001,129,7,5,231,0,0,1,0,0,1,0,0
278,40.71069,-73.95175,130,10,49,152,0,1,0,0,0,1,0,0
279,40.70863,-73.94641,95,4,132,46,0,1,0,0,0,1,0,0
280,40.82888,-73.94306999999999,75,3,20,364,0,0,1,0,0,0,1,0
281,40.673190000000005,-73.97323,175,2,11,246,0,1,0,0,0,1,0,0
282,40.67846,-73.99443000000001,190,3,51,288,0,1,0,0,0,1,0,0
283,40.6715,-73.94808,49,21,15,331,0,1,0,0,0,0,1,0
284,40.72681,-73.98534000000001,212,3,67,51,0,0,1,0,0,1,0,0
285,40.71904,-73.99391999999999,95,1,109,364,0,0,1,0,0,0,1,0
286,40.71031,-73.9583,140,2,9,254,0,1,0,0,0,1,0,0
287,40.81322,-73.95306,135,6,187,189,0,0,1,0,0,1,0,0
288,40.67732,-73.98225,150,2,214,263,0,1,0,0,0,1,0,0
289,40.68076,-73.9896,190,3,69,258,0,1,0,0,0,1,0,0
290,40.79603,-73.94903000000001,124,28,22,103,0,0,1,0,0,1,0,0
291,40.71492,-73.96282,135,30,56,42,0,1,0,0,0,1,0,0
292,40.80393,-73.95838,122,3,93,246,0,0,1,0,0,0,1,0
293,40.80082,-73.9652,109,1,104,364,0,0,1,0,0,0,1,0
294,40.82976,-73.94866999999999,85,30,64,318,0,0,1,0,0,0,1,0
295,40.683,-73.91981,145,3,127,72,0,1,0,0,0,1,0,0
296,40.78971,-73.9729,195,11,30,249,0,0,1,0,0,1,0,0
297,40.67817,-73.99495,250,2,106,272,0,1,0,0,0,1,0,0
298,40.731190000000005,-73.95578,125,3,6,325,0,1,0,0,0,0,1,0
299,40.719429999999996,-73.99627,575,2,191,298,0,0,1,0,0,1,0,0
